Дата | Выработка (Вт⋅ч) | Потребление (Вт⋅ч)
2025-05-01 | 352,34 | 30,00
2025-05-02 | 328,90 | 30,00
2025-05-03 | 378,40 | 30,00
2025-05-04 | 387,61 | 30,00
2025-05-05 | 400,65 | 30,00
2025-05-06 | 360,82 | 30,00
2025-05-07 | 358,20 | 30,00
2025-05-08 | 358,77 | 30,00
2025-05-09 | 332,10 | 30,00
2025-05-10 | 371,96 | 30,00
2025-05-11 | 340,70 | 30,00
2025-05-12 | 327,12 | 30,00
2025-05-13 | 339,52 | 30,00
2025-05-14 | 368,81 | 30,00
2025-05-15 | 335,25 | 30,00
2025-05-16 | 327,68 | 30,00
2025-05-17 | 276,29 | 30,00
2025-05-18 | 275,87 | 30,00
2025-05-19 | 277,33 | 31,00
2025-05-20 | 288,86 | 31,00
2025-05-21 | 247,25 | 31,00
2025-05-22 | 262,14 | 31,00
2025-05-23 | 315,65 | 31,00
2025-05-24 | 317,14 | 31,00
2025-05-25 | 396,40 | 31,00
2025-05-26 | 477,30 | 31,00
2025-05-27 | 463,74 | 31,00
2025-05-28 | 444,83 | 31,00
2025-05-29 | 462,00 | 31,00
2025-05-30 | 414,19 | 31,00
2025-05-31 | 414,49 | 31,00
