Дата | Выработка (Вт⋅ч) | Потребление (Вт⋅ч)
2025-01-01 | 279,79 | 17,00
2025-01-02 | 235,38 | 17,00
2025-01-03 | 267,24 | 17,00
2025-01-04 | 259,16 | 17,00
2025-01-05 | 259,44 | 17,00
2025-01-06 | 260,28 | 17,00
2025-01-07 | 249,85 | 17,00
2025-01-08 | 241,64 | 17,00
2025-01-09 | 248,36 | 17,00
2025-01-10 | 218,08 | 18,00
2025-01-11 | 209,63 | 18,00
2025-01-12 | 207,70 | 18,00
2025-01-13 | 195,19 | 18,00
2025-01-14 | 185,99 | 18,00
2025-01-15 | 171,21 | 18,00
2025-01-16 | 178,46 | 18,00
2025-01-17 | 176,80 | 18,00
2025-01-18 | 178,13 | 18,00
2025-01-19 | 198,25 | 18,00
2025-01-20 | 206,80 | 18,00
2025-01-21 | 202,56 | 18,00
2025-01-22 | 212,44 | 18,00
2025-01-23 | 201,86 | 18,00
2025-01-24 | 199,80 | 18,00
2025-01-25 | 207,68 | 19,00
2025-01-26 | 209,09 | 19,00
2025-01-27 | 216,28 | 19,00
2025-01-28 | 252,89 | 19,00
2025-01-29 | 278,79 | 19,00
2025-01-30 | 327,05 | 20,00
2025-01-31 | 339,34 | 20,00
2025-02-01 | 321,69 | 20,00
2025-02-02 | 298,82 | 20,00
2025-02-03 | 299,03 | 20,00
2025-02-04 | 279,61 | 20,00
2025-02-05 | 277,65 | 20,00
2025-02-06 | 240,34 | 20,00
2025-02-07 | 233,62 | 21,00
2025-02-08 | 256,05 | 21,00
2025-02-09 | 279,00 | 21,00
2025-02-10 | 255,89 | 21,00
2025-02-11 | 252,17 | 21,00
2025-02-12 | 233,38 | 21,00
2025-02-13 | 250,52 | 21,00
2025-02-14 | 267,58 | 21,00
2025-02-15 | 247,84 | 21,00
2025-02-16 | 216,53 | 21,00
2025-02-17 | 268,36 | 21,00
2025-02-18 | 278,61 | 21,00
2025-02-19 | 284,33 | 22,00
2025-02-20 | 262,08 | 22,00
2025-02-21 | 256,41 | 22,00
2025-02-22 | 250,18 | 22,00
2025-02-23 | 246,54 | 22,00
2025-02-24 | 243,16 | 22,00
2025-02-25 | 244,81 | 23,00
2025-02-26 | 226,71 | 23,00
2025-02-27 | 249,22 | 23,00
2025-02-28 | 294,36 | 23,00
2025-03-01 | 350,11 | 23,00
2025-03-02 | 352,84 | 23,00
2025-03-03 | 337,99 | 24,00
2025-03-04 | 329,94 | 24,00
2025-03-05 | 349,43 | 24,00
2025-03-06 | 324,12 | 24,00
2025-03-07 | 307,71 | 24,00
2025-03-08 | 299,41 | 24,00
2025-03-09 | 286,92 | 24,00
2025-03-10 | 318,38 | 24,00
2025-03-11 | 287,46 | 24,00
2025-03-12 | 328,80 | 24,00
2025-03-13 | 321,06 | 24,00
2025-03-14 | 318,26 | 24,00
2025-03-15 | 319,03 | 24,00
2025-03-16 | 291,99 | 24,00
2025-03-17 | 312,44 | 25,00
2025-03-18 | 353,84 | 25,00
2025-03-19 | 323,32 | 25,00
2025-03-20 | 339,47 | 26,00
2025-03-21 | 364,18 | 26,00
2025-03-22 | 365,98 | 26,00
2025-03-23 | 412,08 | 26,00
2025-03-24 | 406,19 | 26,00
2025-03-25 | 370,71 | 26,00
2025-03-26 | 360,89 | 26,00
2025-03-27 | 355,25 | 26,00
2025-03-28 | 320,94 | 26,00
2025-03-29 | 310,62 | 26,00
2025-03-30 | 311,20 | 26,00
2025-03-31 | 294,66 | 26,00
2025-04-01 | 306,31 | 26,00
2025-04-02 | 272,53 | 26,00
2025-04-03 | 258,37 | 26,00
2025-04-04 | 279,45 | 26,00
2025-04-05 | 278,34 | 27,00
2025-04-06 | 285,48 | 27,00
2025-04-07 | 290,85 | 27,00
2025-04-08 | 317,26 | 28,00
2025-04-09 | 324,51 | 28,00
2025-04-10 | 322,71 | 28,00
2025-04-11 | 304,61 | 28,00
2025-04-12 | 327,22 | 28,00
2025-04-13 | 297,28 | 28,00
2025-04-14 | 274,56 | 28,00
2025-04-15 | 264,07 | 28,00
2025-04-16 | 260,57 | 28,00
2025-04-17 | 245,24 | 28,00
2025-04-18 | 248,19 | 28,00
2025-04-19 | 224,14 | 28,00
2025-04-20 | 246,10 | 28,00
2025-04-21 | 218,78 | 28,00
2025-04-22 | 222,59 | 28,00
2025-04-23 | 250,86 | 28,00
2025-04-24 | 271,59 | 29,00
2025-04-25 | 320,94 | 29,00
2025-04-26 | 297,56 | 29,00
2025-04-27 | 300,64 | 29,00
2025-04-28 | 332,19 | 29,00
2025-04-29 | 336,39 | 30,00
2025-04-30 | 341,11 | 30,00
2025-05-01 | 352,34 | 30,00
2025-05-02 | 328,90 | 30,00
2025-05-03 | 378,40 | 30,00
2025-05-04 | 387,61 | 30,00
2025-05-05 | 400,65 | 30,00
2025-05-06 | 360,82 | 30,00
2025-05-07 | 358,20 | 30,00
2025-05-08 | 358,77 | 30,00
2025-05-09 | 332,10 | 30,00
2025-05-10 | 371,96 | 30,00
2025-05-11 | 340,70 | 30,00
2025-05-12 | 327,12 | 30,00
2025-05-13 | 339,52 | 30,00
2025-05-14 | 368,81 | 30,00
2025-05-15 | 335,25 | 30,00
2025-05-16 | 327,68 | 30,00
2025-05-17 | 276,29 | 30,00
2025-05-18 | 275,87 | 30,00
2025-05-19 | 277,33 | 31,00
2025-05-20 | 288,86 | 31,00
