Дата;Облачность (%);Температура (°C)
2025-03-28 18:00:00;79;-15,01
2025-03-28 21:00:00;32;-14,97
2025-03-29 00:00:00;3;-11,89
2025-03-29 03:00:00;9;-7,33
2025-03-29 06:00:00;31;-3,94
2025-03-29 09:00:00;90;-2,86
2025-03-29 12:00:00;91;-5,35
2025-03-29 15:00:00;98;-6,3
2025-03-29 18:00:00;98;-6,32
2025-03-29 21:00:00;100;-5,56
2025-03-30 00:00:00;95;-2,31
2025-03-30 03:00:00;47;3,31
2025-03-30 06:00:00;62;4,57
2025-03-30 09:00:00;99;3,92
2025-03-30 12:00:00;86;-0,15
2025-03-30 15:00:00;97;-0,68
2025-03-30 18:00:00;99;-1,17
2025-03-30 21:00:00;100;-2,11
2025-03-31 00:00:00;94;-1,07
2025-03-31 03:00:00;100;3,13
2025-03-31 06:00:00;100;4,24
2025-03-31 09:00:00;99;3,89
2025-03-31 12:00:00;98;-0,7
2025-03-31 15:00:00;71;-1,67
2025-03-31 18:00:00;60;-3,13
2025-03-31 21:00:00;39;-3,88
2025-04-01 00:00:00;26;-0,96
2025-04-01 03:00:00;100;2,8
2025-04-01 06:00:00;97;5,76
2025-04-01 09:00:00;99;5,42
2025-04-01 12:00:00;89;0,09
2025-04-01 15:00:00;58;-1,53
2025-04-01 18:00:00;79;-1,69
2025-04-01 21:00:00;59;-3,1
2025-04-02 00:00:00;39;-0,24
2025-04-02 03:00:00;20;5,54
2025-04-02 06:00:00;47;8,83
2025-04-02 09:00:00;100;8,87
2025-04-02 12:00:00;100;3,78
2025-04-02 15:00:00;100;2,32
